A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
b,36.33,2.125,y,p,w,v,0.085,t,t,1,f,g,50,1187,+
b,48.33,12,u,g,m,v,16,t,f,0,f,s,110,0,+
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260,15108,+
b,40,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0,500,+
b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,0,367,+
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,30,300,+
b,23.75,12,u,g,c,v,2.085,f,f,0,f,s,80,0,-
b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,348,0,-
b,47.33,6.5,u,g,c,v,1,f,f,0,t,g,0,228,-
b,32.08,4,y,p,cc,v,1.5,f,f,0,t,g,120,0,-
a,39.08,4,u,g,c,v,3,f,f,0,f,g,480,0,-
a,17.92,10.21,u,g,ff,ff,0,f,f,0,f,g,0,50,-
b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,180,0,-
