variance,skewness,curtosis,entropy,class
1.2138,8.7986,-2.1672,-0.74182,no
-1.7781,0.8546,7.1303,0.027572,no
3.8244,-3.1081,2.4537,0.52024,no
3.4566,9.5228,-4.0112,-3.5944,no
-1.4572,9.1214,1.7425,-5.1241,no
0.5706,-0.0248,1.2421,-0.5621,no
-1.3612,10.694,1.7022,-2.9026,no
5.0429,-0.52974,0.50439,1.106,no
4.1711,8.722,-3.0224,-0.59699,no
5.0617,-0.35799,0.44698,0.99868,no
5.681,7.795,-2.6848,-0.92544,no
0.5195,-3.2633,3.0895,-0.9849,no
0.4339,5.5395,2.033,-0.40432,no
5.262,3.9834,-1.5572,1.0103,no
3.1088,3.1122,0.80857,0.4336,no
3.1896,5.7526,-0.18537,-0.30087,no
2.093,8.3061,0.022844,-3.2724,no
1.2262,0.89599,5.7568,-0.11596,no
3.577,2.4004,1.8908,0.73231,no
5.0297,-4.9704,3.5025,-0.23751,no
1.1315,7.9212,1.093,-2.8444,no
2.7206,9.0821,-3.3111,-0.96811,no
0.5706,-0.0248,1.2421,-0.5621,no
4.0962,10.1891,-3.9323,-4.1827,no
0.5195,-3.2633,3.0895,-0.9849,no
2.2928,9.0386,-3.2417,-1.2991,no
4.1962,0.74493,0.83256,0.753,no
5.591,10.4643,-4.3839,-4.3379,no
5.6084,10.3009,-4.8003,-4.3534,no
0.89566,7.7763,-2.7473,-1.9353,no
3.4776,8.811,-3.1886,-0.92285,no
3.2303,7.8384,-3.5348,-1.2151,no
2.1526,-6.1665,8.0831,-0.34355,no
-1.6162,0.80908,8.1628,0.60817,no
2.7391,7.4018,0.071684,-2.5302,no
3.7798,-3.3109,2.6491,0.066365,no
1.1518,1.3864,5.2727,-0.43536,no
2.4673,1.3926,1.7125,0.41421,no
3.1541,-5.1711,6.5991,0.57455,no
1.7452,4.8028,2.0878,0.62627,no
4.6464,10.5326,-4.5852,-4.206,no
0.86736,5.5643,1.6765,-0.16769,no
5.2423,11.0272,-4.353,-4.1013,no
4.6361,-2.6611,2.8358,1.1991,no
-0.96511,9.4111,1.7305,-4.8629,no
2.6881,6.0195,-0.46641,-0.69268,no
3.6216,8.6661,-2.8073,-0.44699,no
1.8799,2.4707,2.4931,0.37671,no
4.0932,5.4132,-1.8219,0.23576,no
5.1302,8.6703,-2.8913,-1.5086,no
0.9297,-3.7971,4.6429,-0.2957,no
4.364,-3.1039,2.3757,0.78532,no
-1.3,10.2678,-2.953,-5.8638,no
1.2706,8.035,-0.19651,-2.1888,no
3.2585,-4.4614,3.8024,-0.15087,no
4.6464,10.5326,-4.5852,-4.206,no
3.4985,3.1639,0.22677,-0.1651,no
5.2423,11.0272,-4.353,-4.1013,no
1.7452,4.8028,2.0878,0.62627,no
0.38478,6.5989,-0.3336,-0.56466,no
0.44125,2.9487,4.3225,0.7155,no
-1.3885,12.5026,0.69118,-7.5487,no
4.1454,7.257,-1.9153,-0.86078,no
1.2746,8.8172,-1.5323,-1.7957,no
2.6719,3.0646,0.37158,0.58619,no
2.888,0.44696,4.5907,-0.24398,no
4.3937,0.35798,2.0416,1.2004,no
0.86202,2.6963,4.2908,0.54739,no
3.534,9.3614,-3.6316,-1.2461,no
3.4359,0.66216,2.1041,1.8922,no
4.0948,-2.9674,2.3689,0.75429,no
-0.91718,9.9884,1.1804,-5.2263,no
4.2772,2.4955,0.48554,0.36119,no
1.5456,8.5482,0.4187,-2.1784,no
-0.24811,-0.17797,4.9068,0.15429,no
2.0153,0.43661,4.5864,-0.3151,no
3.9772,0.33521,2.2566,2.1625,no
1.5701,7.9129,0.29018,-2.1953,no
1.2999,2.5762,2.0107,-0.18967,no
1.2616,4.4303,-1.3335,-1.7517,no
4.616,10.1788,-4.2185,-4.4245,no
3.6244,1.4609,1.3501,1.9284,no
0.46901,-0.63321,7.3848,0.36507,no
-1.803,11.8818,2.0458,-5.2728,no
2.8237,2.8597,0.19678,0.57196,no
2.4391,6.4417,-0.80743,-0.69139,no
2.8209,7.3108,-0.81857,-1.8784,no
2.2034,5.9947,0.53009,0.84998,no
1.6349,3.286,2.8753,0.087054,no
4.6562,7.6398,-2.4243,-1.2384,no
-2.2153,11.9625,0.078538,-7.7853,no
3.744,0.79459,0.95851,1.0077,no
4.6352,-3.0087,2.6773,1.212,no
2.6719,3.0646,0.37158,0.58619,no
3.0242,-3.3378,2.5865,-0.54785,no
4.0962,10.1891,-3.9323,-4.1827,no
0.5195,-3.2633,3.0895,-0.9849,no
4.8265,0.80287,1.6371,1.1875,no
2.5089,6.841,-0.029423,0.44912,no
5.2012,0.32694,0.17965,1.1797,no
1.4507,8.7903,-2.2324,-0.65259,no
0.95626,2.4728,4.4578,0.21636,no
-1.8411,10.8306,2.769,-3.0901,no
1.5701,7.9129,0.29018,-2.1953,no
3.6216,8.6661,-2.8073,-0.44699,no
4.2899,9.1814,-4.6067,-4.3263,no
-1.803,11.8818,2.0458,-5.2728,no
3.8846,-3.0336,2.5334,0.20214,no
3.5358,6.7086,-0.81857,0.47886,no
3.8213,0.23175,2.0133,2.0564,no
3.0672,-4.4117,3.8238,-0.81682,no
3.3669,-5.1856,3.6935,-1.1427,no
2.8209,7.3108,-0.81857,-1.8784,no
-1.9922,11.6542,2.6542,-5.2107,no
0.74841,7.2756,1.1504,-0.5388,no
4.9923,7.8653,-2.3515,-0.71984,no
4.988,7.2052,-3.2846,-1.1608,no
-2.3242,11.5176,1.8231,-5.375,no
3.3756,-4.0951,4.367,1.0698,no
3.1887,-3.4143,2.7742,-0.2026,no
3.2351,9.647,-3.2074,-2.5948,no
0.89606,10.5471,-1.4175,-4.0327,no
5.7403,-0.44284,0.38015,1.3763,no
3.7935,7.9853,-2.5477,-1.872,no
0.5734,9.1938,-0.9094,-1.872,no
2.4287,9.3821,-3.2477,-1.4543,no
0.12326,8.9848,-0.9351,-2.4332,no
-1.3,10.2678,-2.953,-5.8638,no
0.007125,8.3661,0.50781,-3.8155,no
1.8238,-6.7748,8.3873,-0.54139,no
-1.3,10.2678,-2.953,-5.8638,no
3.8905,-2.1521,2.6302,1.1047,no
2.7961,2.121,1.8385,0.38317,no
-1.8348,11.0334,3.1863,-4.8888,no
1.518,5.6946,0.094818,-0.026738,no
-1.7559,11.9459,3.0946,-4.8978,no
-1.3274,9.498,2.4408,-5.2689,no
5.4188,10.1457,-4.084,-3.6991,no
2.3164,-2.628,3.1529,-0.08622,no
0.72252,-0.053811,5.6703,-1.3509,no
4.9923,7.8653,-2.3515,-0.71984,no
4.8451,8.1116,-2.9512,-1.4724,no
4.6765,-3.3895,3.4896,1.4771,no
-2.2623,12.1177,0.28846,-7.7581,no
4.3365,-3.584,3.6884,0.74912,no
2.5227,2.2369,2.7236,0.79438,no
3.3848,3.2674,0.90967,0.25128,no
3.3397,-4.6145,3.9823,-0.23751,no
3.9364,10.5885,-3.725,-4.3133,no
1.8216,-6.4748,8.0514,-0.41855,no
4.2969,7.617,-2.3874,-0.96164,no
6.5633,9.8187,-4.4113,-3.2258,no
2.4391,6.4417,-0.80743,-0.69139,no
0.81356,9.1566,-2.1492,-4.1814,no
-0.12196,8.8068,0.94566,-4.2267,no
2.9571,-4.5938,5.9068,0.57196,no
3.8213,0.23175,2.0133,2.0564,no
0.89566,7.7763,-2.7473,-1.9353,no
3.9899,-2.7066,2.3946,0.86291,no
