job,marital,education,default,housing,loan,contact,month,poutcome,y
blue-collar,single,secondary,no,yes,no,cellular,apr,unknown,no
technician,single,secondary,no,yes,yes,cellular,apr,failure,no
technician,single,tertiary,no,yes,no,unknown,jun,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,yes,no,telephone,nov,unknown,no
blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
entrepreneur,single,tertiary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,no,no,cellular,nov,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
services,married,secondary,no,yes,yes,cellular,feb,unknown,no
self-employed,married,primary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,failure,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,cellular,apr,unknown,no
admin.,married,unknown,no,yes,yes,unknown,may,unknown,no
technician,married,tertiary,no,no,no,cellular,nov,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,failure,no
services,single,secondary,no,yes,no,cellular,jul,unknown,no
services,married,secondary,no,yes,no,cellular,jul,unknown,no
self-employed,married,tertiary,yes,yes,yes,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,feb,other,no
entrepreneur,single,tertiary,no,yes,yes,cellular,apr,other,no
