job,marital,education,default,housing,loan,contact,month,poutcome,y
admin.,married,secondary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
management,divorced,tertiary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,tertiary,no,yes,yes,cellular,nov,unknown,no
admin.,married,secondary,no,yes,no,unknown,jun,unknown,no
admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
technician,single,secondary,no,no,yes,unknown,jun,unknown,no
student,single,tertiary,no,no,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,telephone,nov,unknown,no
technician,single,secondary,no,yes,no,cellular,may,failure,no
management,married,primary,no,yes,yes,cellular,apr,failure,no
services,married,unknown,no,yes,no,unknown,may,unknown,no
student,single,secondary,no,no,no,cellular,sep,unknown,no
services,married,secondary,no,yes,yes,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,secondary,no,no,no,cellular,aug,unknown,no
services,single,secondary,no,no,no,unknown,jun,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,telephone,may,failure,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
self-employed,single,tertiary,no,yes,no,cellular,jul,unknown,no
management,single,tertiary,no,yes,no,telephone,jan,failure,no
blue-collar,single,secondary,no,no,no,cellular,may,unknown,no
management,married,tertiary,no,no,no,unknown,jun,unknown,no
unknown,married,unknown,no,no,no,unknown,jun,unknown,no
technician,married,secondary,no,no,no,unknown,jun,unknown,no
self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
admin.,married,tertiary,no,yes,no,cellular,oct,failure,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,single,tertiary,no,no,no,cellular,apr,other,no
technician,single,tertiary,no,yes,no,unknown,jun,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
services,married,primary,no,yes,no,cellular,jul,unknown,no
management,married,secondary,no,yes,yes,cellular,nov,failure,no
admin.,divorced,primary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
retired,married,secondary,no,no,no,cellular,jul,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
unemployed,divorced,secondary,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,feb,unknown,no
unemployed,married,primary,no,no,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
admin.,divorced,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,unknown,may,unknown,no
housemaid,single,primary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,no,yes,unknown,jun,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,may,unknown,no
admin.,married,secondary,no,yes,yes,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
self-employed,married,secondary,no,yes,no,cellular,nov,failure,no
blue-collar,divorced,secondary,no,no,no,cellular,may,unknown,no
retired,married,unknown,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
blue-collar,single,primary,no,yes,yes,unknown,may,unknown,no
admin.,single,unknown,no,no,no,cellular,sep,unknown,no
blue-collar,single,primary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,unknown,jun,unknown,no
management,single,primary,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,no,no,telephone,jul,unknown,no
admin.,single,secondary,no,yes,no,telephone,may,unknown,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,single,secondary,no,no,yes,unknown,jun,unknown,no
management,single,tertiary,no,yes,no,cellular,may,unknown,no
management,married,secondary,no,yes,no,cellular,nov,unknown,no
management,married,secondary,no,yes,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,no,yes,cellular,jul,unknown,no
management,divorced,tertiary,no,yes,yes,cellular,jul,unknown,no
self-employed,single,tertiary,no,yes,yes,unknown,may,unknown,no
technician,divorced,tertiary,no,yes,no,telephone,nov,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,other,no
technician,single,secondary,no,no,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,jun,unknown,no
